Park,State,Country,Adult,Child,PartySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEndDate,Camper nights,Permits
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/19/2014,07/21/2014,2,1
Cape Chignecto,ON ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,06/05/2014,06/06/2014,1,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Senior,Tents,07/23/2014,07/25/2014,2,1
Blomidon,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,06/27/2014,06/29/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/27/2014,07/01/2014,4,1
Five Islands,NB ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,06/24/2014,06/25/2014,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/19/2014,07/20/2014,1,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/18/2014,07/20/2014,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,06/29/2014,07/01/2014,2,1
Smileys,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Single Tent,09/03/2014,09/04/2014,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 40ft,06/30/2014,07/02/2014,2,1
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2014,07/01/2014,4,1
Blomidon,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/03/2014,08/05/2014,2,1
Ellenwood Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/05/2014,08/06/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2014,06/30/2014,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,10/10/2014,10/11/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,05/25/2014,05/26/2014,1,1
Whycocomagh,WI ,USA ,2,,2,CampsitePermit,Full,Tents,06/22/2014,06/23/2014,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/14/2014,07/17/2014,3,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/29/2014,09/01/2014,3,1
Caribou Munroes,NS ,CANADA ,2,0,2,CampsitePermit,Full,Single Tent,08/01/2014,08/04/2014,3,1
Thomas Raddall,ON ,CANADA ,1,,1,CampsitePermit,Senior,Single Tent,07/25/2014,07/27/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/13/2014,07/15/2014,2,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,06/16/2014,06/20/2014,4,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/20/2014,08/22/2014,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/06/2014,06/08/2014,2,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/18/2014,07/20/2014,2,1
Mira River,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,08/29/2014,09/01/2014,3,1
Five Islands,MA ,USA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/23/2014,08/24/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2014,08/02/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/29/2014,08/30/2014,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/03/2014,08/04/2014,1,1
Laurie,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/03/2014,09/04/2014,1,1
Smileys,NS ,CANADA ,2,0,2,CampsitePermit,Full,Less than 20ft,06/13/2014,06/15/2014,2,1
Graves Island,YT ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2014,06/28/2014,1,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/03/2014,07/04/2014,1,1
Laurie,GERMANY ,OTHER,1,,1,CampsitePermit,Full,Single Tent,09/03/2014,09/06/2014,3,1
Blomidon,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/03/2014,08/09/2014,6,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,07/10/2014,07/14/2014,4,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/18/2014,07/20/2014,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/28/2014,07/30/2014,2,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/26/2014,08/27/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/12/2014,09/14/2014,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/23/2014,09/24/2014,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/08/2014,08/10/2014,2,1
Mira River,QC ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/01/2014,08/04/2014,3,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/22/2014,08/24/2014,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/11/2014,07/14/2014,3,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/11/2014,07/13/2014,2,1
Whycocomagh,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/17/2014,07/20/2014,3,1
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/28/2014,06/30/2014,2,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/15/2014,06/17/2014,2,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/16/2014,07/18/2014,2,1
Battery,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/01/2014,08/03/2014,2,1
Amherst Shore,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/29/2014,09/01/2014,3,1
Five Islands,AB ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/15/2014,08/17/2014,2,1
Graves Island,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,10/03/2014,10/05/2014,2,1
Graves Island,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/28/2014,08/29/2014,1,1
Porters Lake,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/28/2014,07/31/2014,3,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/01/2014,08/04/2014,3,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/07/2014,07/09/2014,2,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,08/27/2014,08/28/2014,1,1
Dollar Lake,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/13/2014,08/14/2014,1,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/08/2014,07/09/2014,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/15/2014,06/17/2014,2,1
Porters Lake,AB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/25/2014,08/28/2014,3,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/24/2014,08/25/2014,1,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/26/2014,08/27/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Greater than 40ft,09/12/2014,09/14/2014,2,1
Smileys,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,06/21/2014,06/22/2014,1,1
Laurie,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/21/2014,07/23/2014,2,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/18/2014,07/19/2014,1,1
Rissers Beach,QC ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/24/2014,07/25/2014,1,1
Rissers Beach,NB ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/27/2014,08/01/2014,5,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/25/2014,09/28/2014,3,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/10/2014,08/11/2014,1,1
Battery,PA ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/01/2014,07/02/2014,1,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/21/2014,06/22/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/09/2014,07/10/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/05/2014,09/07/2014,2,1
Caribou Munroes,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/31/2014,09/01/2014,1,1
Laurie,NS ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,08/08/2014,08/10/2014,2,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,08/25/2014,08/28/2014,3,1
Amherst Shore,IL ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/10/2014,08/12/2014,2,1
Salsman,NS ,CANADA ,1,2,3,CampsitePermit,Full,Less than 20ft,07/12/2014,07/13/2014,1,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/10/2014,07/11/2014,1,1
Porters Lake,UK,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,09/26/2014,09/27/2014,1,1
Ellenwood Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/18/2014,07/21/2014,3,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/22/2014,07/27/2014,5,1
Rissers Beach,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,05/20/2014,05/21/2014,1,1
Battery,ME ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,07/22/2014,07/23/2014,1,1
Porters Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/29/2014,09/01/2014,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/08/2014,08/12/2014,4,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,10/10/2014,10/13/2014,3,1
Rissers Beach,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/10/2014,08/11/2014,1,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/25/2014,07/27/2014,2,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/05/2014,08/06/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/01/2014,06/02/2014,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/16/2014,08/17/2014,1,1
Thomas Raddall,GERMANY ,OTHER,3,,3,CampsitePermit,Full,Less than 20ft,07/08/2014,07/09/2014,1,1
Caribou Munroes,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/30/2014,09/01/2014,2,1
Laurie,NETHERLANDS ,OTHER,2,,2,CampsitePermit,Full,Single Tent,07/23/2014,07/24/2014,1,1
The Islands,ITALY,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/10/2014,09/11/2014,1,1
Caribou Munroes,CT ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/27/2014,08/28/2014,1,1
Graves Island,SWITZERLAND  ,OTHER,1,,1,CampsitePermit,Full,Single Tent,10/07/2014,10/08/2014,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/29/2014,09/01/2014,3,1
Caribou Munroes,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/30/2014,09/01/2014,2,1
Ellenwood Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,06/27/2014,06/29/2014,2,1
Porters Lake,TN ,USA ,1,,1,CampsitePermit,Senior,Single Tent,06/26/2014,06/27/2014,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,06/30/2014,07/14/2014,14,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/21/2014,08/24/2014,3,1
Whycocomagh,FL ,USA ,1,,1,CampsitePermit,Full,Less than 20ft,07/22/2014,07/23/2014,1,1
Graves Island,NB ,CANADA ,1,1,2,CampsitePermit,Full,Tents,08/19/2014,08/21/2014,2,1
Caribou Munroes,NS ,CANADA ,3,3,6,CampsitePermit,Full,Less than 20ft,08/11/2014,08/13/2014,2,1
Cape Chignecto,QC ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/30/2014,08/31/2014,1,1
Blomidon,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,06/20/2014,06/22/2014,2,1
Amherst Shore,AB ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/29/2014,07/30/2014,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/22/2014,08/24/2014,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/15/2014,08/18/2014,3,1
The Islands,AUSTRIA ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,08/19/2014,08/20/2014,1,1
Amherst Shore,GERMANY ,OTHER,2,2,4,CampsitePermit,Full,Less than 30ft,08/13/2014,08/14/2014,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,05/16/2014,05/19/2014,3,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/22/2014,08/24/2014,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/04/2014,08/07/2014,3,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,09/05/2014,09/07/2014,2,1
Cape Chignecto,NB ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,08/23/2014,08/24/2014,1,1
Porters Lake,NS ,CANADA ,4,0,4,CampsitePermit,Full,Less than 20ft,05/23/2014,05/25/2014,2,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/18/2014,07/20/2014,2,1
Laurie,NS ,CANADA ,3,3,6,CampsitePermit,Full,Less than 30ft,09/05/2014,09/07/2014,2,1
Cape Chignecto,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,10/10/2014,10/13/2014,3,1
Mira River,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,07/08/2014,07/10/2014,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,06/20/2014,06/22/2014,2,1
Laurie,NS ,CANADA ,1,,1,CampsitePermit,Senior,Single Tent,08/04/2014,08/05/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/23/2014,07/26/2014,3,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,08/06/2014,08/08/2014,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/25/2014,07/27/2014,2,1
Caribou Munroes,ON ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,09/17/2014,09/18/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/27/2014,07/01/2014,4,1
Valleyview,MB ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,07/18/2014,08/01/2014,14,1
Cape Chignecto,MA ,USA ,1,,1,CampsitePermit,Full,Single Tent,08/09/2014,08/12/2014,3,1
Ellenwood Lake,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/11/2014,07/14/2014,3,1
Five Islands,MA ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/27/2014,08/28/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/04/2014,08/08/2014,4,1
Five Islands,AB ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,07/13/2014,07/15/2014,2,1
Porters Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/19/2014,09/21/2014,2,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,09/05/2014,09/06/2014,1,1
Porters Lake,NS ,CANADA ,4,2,6,CampsitePermit,Full,Less than 30ft,08/21/2014,08/25/2014,4,1
Porters Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/21/2014,08/23/2014,2,1
Thomas Raddall,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,08/14/2014,08/16/2014,2,1
Dollar Lake,NS ,CANADA ,4,2,6,CampsitePermit,Full,Single Tent,07/23/2014,07/26/2014,3,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/21/2014,07/22/2014,1,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/15/2014,08/16/2014,1,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/26/2014,09/28/2014,2,1
Amherst Shore,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/06/2014,08/07/2014,1,1
Ellenwood Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/18/2014,08/20/2014,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,09/26/2014,09/29/2014,3,1
Thomas Raddall,VT ,USA ,2,,2,CampsitePermit,Full,Single Tent,06/10/2014,06/11/2014,1,1
Mira River,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/12/2014,07/13/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/29/2014,06/30/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/18/2014,08/20/2014,2,1
Amherst Shore,NY ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/14/2014,08/15/2014,1,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/09/2014,08/10/2014,1,1
Graves Island,AB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/18/2014,08/19/2014,1,1
Valleyview,NS ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,08/29/2014,09/01/2014,3,1
Cape Chignecto,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/12/2014,09/15/2014,3,1
Smileys,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/25/2014,07/27/2014,2,1
Five Islands,NETHERLANDS ,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/24/2014,08/27/2014,3,1
Smileys,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/23/2014,08/25/2014,2,1
Five Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/02/2014,07/03/2014,1,1
Five Islands,VA ,USA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/25/2014,07/27/2014,2,1
Smileys,NETHERLANDS ,OTHER,2,2,4,CampsitePermit,Full,Less than 30ft,08/04/2014,08/05/2014,1,1
Smileys,NS ,CANADA ,4,2,6,CampsitePermit,Full,Tents,08/16/2014,08/17/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/07/2014,07/12/2014,5,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/20/2014,06/22/2014,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/20/2014,08/22/2014,2,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,06/29/2014,07/01/2014,2,1
Boylston,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/26/2014,06/27/2014,1,1
Blomidon,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/06/2014,08/08/2014,2,1
Graves Island,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/23/2014,08/24/2014,1,1
Five Islands,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,06/14/2014,06/15/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/08/2014,08/10/2014,2,1
Whycocomagh,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/22/2014,09/23/2014,1,1
Valleyview,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,08/28/2014,08/30/2014,2,1
Mira River,MO ,USA ,2,,2,CampsitePermit,Senior,Less than 40ft,07/02/2014,07/03/2014,1,1
Ellenwood Lake,MA ,USA ,3,,3,CampsitePermit,Full,Tents,07/31/2014,08/01/2014,1,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,08/24/2014,08/26/2014,2,1
Battery,ON ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/24/2014,08/25/2014,1,1
Laurie,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/07/2014,07/08/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/27/2014,09/28/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/23/2014,08/24/2014,1,1
Dollar Lake,NS ,CANADA ,5,1,6,CampsitePermit,Full,Less than 20ft,08/01/2014,08/03/2014,2,1
Salsman,ID ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/15/2014,08/16/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/29/2014,08/31/2014,2,1
Mira River,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/23/2014,08/24/2014,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,07/24/2014,07/27/2014,3,1
Whycocomagh,MA ,USA ,2,,2,CampsitePermit,Senior,Single Tent,10/01/2014,10/02/2014,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2014,07/20/2014,2,1
Porters Lake,MO ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/15/2014,08/16/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/15/2014,08/17/2014,2,1
Mira River,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,06/06/2014,06/08/2014,2,1
Caribou Munroes,NETHERLANDS ,OTHER,2,,2,CampsitePermit,Full,Single Tent,07/03/2014,07/04/2014,1,1
Blomidon,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/02/2014,07/03/2014,1,1
Five Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/16/2014,08/17/2014,1,1
Salsman,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,08/08/2014,08/10/2014,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/18/2014,07/20/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,10/03/2014,10/05/2014,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/11/2014,08/14/2014,3,1
Whycocomagh,ON ,CANADA ,4,,4,CampsitePermit,Full,Less than 40ft,08/07/2014,08/11/2014,4,1
Rissers Beach,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/24/2014,07/27/2014,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2014,07/20/2014,2,1
The Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/28/2014,08/31/2014,3,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/24/2014,06/25/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/22/2014,08/24/2014,2,1
Whycocomagh,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,09/15/2014,09/16/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Tents,08/01/2014,08/04/2014,3,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/21/2014,08/28/2014,7,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/31/2014,08/02/2014,2,1
Porters Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,05/31/2014,06/01/2014,1,1
Blomidon,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/20/2014,07/23/2014,3,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/11/2014,07/13/2014,2,1
Thomas Raddall,QC ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/10/2014,08/13/2014,3,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2014,07/20/2014,2,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/12/2014,09/14/2014,2,1
Blomidon,MA ,USA ,2,2,4,CampsitePermit,Full,Single Tent,08/21/2014,08/22/2014,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/01/2014,08/04/2014,3,1
Five Islands,MA ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/30/2014,07/31/2014,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/25/2014,08/28/2014,3,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/07/2014,07/10/2014,3,1
Whycocomagh,ME ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,07/23/2014,07/24/2014,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/29/2014,09/01/2014,3,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,09/26/2014,09/28/2014,2,1
Valleyview,CZECH REPUBLIC,OTHER,1,,1,CampsitePermit,Full,Single Tent,07/09/2014,07/10/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/15/2014,06/17/2014,2,1
Caribou Munroes,GERMANY ,OTHER,4,,4,CampsitePermit,Full,Less than 20ft,09/16/2014,09/17/2014,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/26/2014,08/02/2014,7,1
The Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/15/2014,08/17/2014,2,1
